anno_index,coord_x,coord_y,coord_z,diameter,malscore
_Non-nodule 001,0.4023,0.2168,0.4962,0.0117,0
_Non-nodule 002,0.7148,0.6875,0.5263,0.0117,0
_Non-nodule 003,0.7148,0.7363,0.7143,0.0117,0
_Non-nodule 004,0.7344,0.3281,0.7293,0.0117,0
_Non-nodule 005,0.1895,0.6758,0.5865,0.0117,0
_Non-nodule 006,0.2402,0.7051,0.5714,0.0117,0
_Non-nodule 007,0.3691,0.627,0.5188,0.0117,0
_Non-nodule 008,0.4219,0.252,0.7218,0.0117,0
_Non-nodule 009,0.6602,0.7129,0.609,0.0117,0
IL057_127089,0.666,0.7168,0.609,0.0117,0
IL057_127058,0.7129,0.6914,0.5263,0.0117,0
IL057_127090,0.8066,0.4277,0.5113,0.0117,0
IL057_127092,0.1328,0.5137,0.4586,0.0117,0
IL057_127080,0.4043,0.2227,0.4962,0.0117,0
MI014_16352,0.4238,0.2539,0.7218,0.0117,0
MI014_16353,0.4004,0.2246,0.4887,0.0117,0
MI014_16324,0.3711,0.6641,0.406,0.0117,0
MI014_16349,0.1309,0.5117,0.4586,0.0117,0
MI014_16354,0.3711,0.627,0.5188,0.0117,0
MI014_16355,0.2402,0.7031,0.5714,0.0117,0
MI014_16343,0.1914,0.6699,0.5865,0.0117,0
MI014_16341,0.7305,0.3242,0.7293,0.0117,0
MI014_16313,0.7148,0.6875,0.5263,0.0117,0
MI014_16357,0.6621,0.7109,0.609,0.0117,0
MI014_16337,0.4004,0.2227,0.4962,0.0117,0
MI014_16338,0.7148,0.7363,0.7143,0.0117,0
MI014_16345,0.666,0.7168,0.609,0.0117,0
MI014_16346,0.8066,0.4277,0.5113,0.0117,0
MI014_16362,0.8145,0.6406,0.5038,0.0117,0
1,0.1855,0.6699,0.5865,0.0117,0
4,0.8066,0.4258,0.5113,0.0117,0
7,0.2402,0.707,0.5714,0.0117,0
12,0.8145,0.6406,0.5038,0.0117,0
13,0.127,0.5156,0.4586,0.0117,0
14,0.1445,0.5098,0.4586,0.0117,0
16,0.4004,0.2227,0.4962,0.0117,0
18,0.7305,0.3242,0.7293,0.0117,0
