anno_index,coord_x,coord_y,coord_z,diameter,malscore
0,0.3282,0.4267,0.6663,0.0181,0
1,0.7462,0.3967,0.3724,0.0181,0
2,0.4432,0.3642,0.7175,0.0181,0
3,0.4166,0.2485,0.7299,0.0181,0
4,0.3932,0.5854,0.6173,0.0181,0
5,0.4023,0.402,0.8548,0.0181,0
6,0.2495,0.4486,0.4095,0.0181,0
7,0.3042,0.3545,0.6451,0.0181,0
8,0.4846,0.5372,0.5838,0.0181,0
9,0.4027,0.2911,0.4923,0.0181,0
10,0.6559,0.6152,0.8438,0.0181,0
11,0.4202,0.3237,0.8089,0.0181,0
12,0.3447,0.5425,0.7845,0.0181,0
13,0.3885,0.3857,0.7643,0.0181,0
14,0.407,0.4245,0.6578,0.0181,0
15,0.4009,0.4246,0.714,0.0181,0
16,0.3846,0.4662,0.5775,0.0181,0
17,0.8195,0.3559,0.3989,0.0181,0
18,0.6451,0.4667,0.6577,0.0181,0
19,0.2724,0.3771,0.3487,0.0181,0
20,0.7133,0.4138,0.5432,0.0181,0
21,0.6709,0.4729,0.6436,0.0181,0
22,0.7483,0.6565,0.2822,0.0181,0
23,0.841,0.3884,0.3575,0.0181,0
24,0.7154,0.3755,0.7715,0.0181,0
25,0.3064,0.3348,0.4923,0.0181,0
26,0.4199,0.4457,0.398,0.0181,0
27,0.6696,0.5624,0.3268,0.0181,0
28,0.4271,0.2581,0.6321,0.0181,0
29,0.4121,0.4465,0.7359,0.0181,0
30,0.7253,0.3977,0.4137,0.0181,0
31,0.7109,0.5235,0.3418,0.0181,0
32,0.6323,0.251,0.5979,0.0181,0
33,0.4224,0.315,0.5371,0.0181,0
34,0.343,0.5069,0.6382,0.0181,0
35,0.2775,0.2431,0.5075,0.0181,0
36,0.5862,0.5095,0.4072,0.0181,0
37,0.3983,0.558,0.6366,0.0181,0
38,0.4667,0.4853,0.9255,0.0181,0
39,0.5473,0.4035,0.7982,0.0181,0
40,0.5755,0.5733,0.3035,0.0181,0
41,0.68,0.3743,0.596,0.0181,0
42,0.2666,0.3175,0.7172,0.0181,0
43,0.7351,0.3589,0.5561,0.0181,0
44,0.4018,0.5806,0.6959,0.0181,0
45,0.731,0.3694,0.7758,0.0181,0
46,0.2653,0.2809,0.461,0.0181,0
47,0.263,0.5533,0.7012,0.0181,0
48,0.8098,0.5339,0.355,0.0181,0
49,0.431,0.6168,0.6272,0.0181,0
50,0.4782,0.2689,0.6648,0.0181,0
51,0.243,0.3666,0.5337,0.0181,0
52,0.4271,0.5852,0.6254,0.0181,0
53,0.6192,0.5121,0.7511,0.0181,0
54,0.4858,0.3326,0.6536,0.0181,0
55,0.4531,0.4405,0.8532,0.0181,0
56,0.4101,0.421,0.6309,0.0181,0
57,0.6505,0.4199,0.6861,0.0181,0
58,0.3861,0.5191,0.9389,0.0181,0
59,0.4712,0.5745,0.675,0.0181,0
60,0.4581,0.4802,0.8703,0.0181,0
61,0.49,0.3227,0.7759,0.0181,0
62,0.446,0.2805,0.6435,0.0181,0
63,0.3392,0.511,0.7204,0.0181,0
64,0.3933,0.5192,0.5736,0.0181,0
65,0.5864,0.3392,0.8488,0.0181,0
66,0.3968,0.412,0.5986,0.0181,0
67,0.4022,0.5537,0.6014,0.0181,0
68,0.2714,0.453,0.331,0.0181,0
69,0.2588,0.4554,0.4441,0.0181,0
70,0.232,0.5996,0.6663,0.0181,0
71,0.5564,0.4878,0.471,0.0181,0
72,0.4507,0.3297,0.733,0.0181,0
73,0.4303,0.4,0.7123,0.0181,0
74,0.6296,0.3803,0.7731,0.0181,0
75,0.2407,0.4924,0.4477,0.0181,0
76,0.1923,0.3872,0.4569,0.0181,0
77,0.2858,0.4641,0.6167,0.0181,0
78,0.5826,0.4651,0.3442,0.0181,0
79,0.415,0.6064,0.88,0.0181,0
80,0.2667,0.6799,0.5958,0.0181,0
81,0.4047,0.2364,0.4883,0.0181,0
82,0.2854,0.5993,0.7964,0.0181,0
83,0.6367,0.5842,0.3183,0.0181,0
84,0.577,0.4696,0.4188,0.0181,0
85,0.3495,0.469,0.5492,0.0181,0
86,0.6109,0.4672,0.6087,0.0181,0
87,0.814,0.4486,0.4011,0.0181,0
88,0.6219,0.3908,0.6504,0.0181,0
89,0.4422,0.3498,0.8357,0.0181,0
90,0.5146,0.4281,0.8609,0.0181,0
91,0.3983,0.3107,0.6133,0.0181,0
92,0.4885,0.4646,0.3444,0.0181,0
93,0.8381,0.4574,0.3353,0.0181,0
94,0.3267,0.2806,0.723,0.0181,0
95,0.6695,0.444,0.5621,0.0181,0
96,0.7598,0.3704,0.5427,0.0181,0
97,0.8183,0.3363,0.3821,0.0181,0
98,0.4574,0.2289,0.6129,0.0181,0
99,0.5967,0.5292,0.392,0.0181,0
100,0.4223,0.4894,0.9061,0.0181,0
101,0.1818,0.4294,0.4487,0.0181,0
102,0.2085,0.4444,0.4535,0.0181,0
103,0.8812,0.4918,0.4382,0.0181,0
104,0.2645,0.475,0.467,0.0181,0
105,0.5727,0.5188,0.7527,0.0181,0
106,0.3569,0.4619,0.6566,0.0181,0
107,0.2976,0.3392,0.6811,0.0181,0
108,0.3389,0.3827,0.8169,0.0181,0
109,0.337,0.3304,0.3714,0.0181,0
110,0.4773,0.5291,0.9107,0.0181,0
111,0.2549,0.7135,0.6591,0.0181,0
112,0.4299,0.2518,0.6208,0.0181,0
113,0.4005,0.4427,0.6603,0.0181,0
114,0.4027,0.2311,0.7055,0.0181,0
115,0.4743,0.519,0.7169,0.0181,0
116,0.2801,0.5689,0.6599,0.0181,0
117,0.6515,0.4271,0.6209,0.0181,0
118,0.3852,0.4202,0.7193,0.0181,0
119,0.4202,0.3983,0.7957,0.0181,0
120,0.4027,0.4749,0.5623,0.0181,0
121,0.4472,0.5304,0.783,0.0181,0
122,0.2976,0.407,0.6217,0.0181,0
123,0.5956,0.5056,0.8952,0.0181,0
124,0.3239,0.5908,0.6896,0.0181,0
125,0.3773,0.4211,0.4857,0.0181,0
126,0.3326,0.4617,0.6578,0.0181,0
127,0.3022,0.3684,0.4214,0.0181,0
128,0.2799,0.4401,0.8255,0.0181,0
129,0.3923,0.4016,0.5685,0.0181,0
130,0.3304,0.3742,0.5284,0.0181,0
