anno_index,coord_x,coord_y,coord_z,diameter,malscore
Nodule 001,0.7178,0.6836,0.5357,0.0684,5
Nodule 003,0.6016,0.3867,0.5893,0.0312,4
Nodule 002,0.4307,0.4268,0.6,0.0332,4
IL057_130591,0.7139,0.6846,0.5357,0.0645,5
IL057_130598,0.4326,0.4277,0.6,0.0332,5
IL057_130602,0.6016,0.3867,0.5893,0.0273,4
MI014_16595,0.4316,0.4277,0.6,0.0352,3
MI014_16599,0.6016,0.3867,0.5893,0.0312,3
MI014_16588,0.7197,0.6846,0.5357,0.0605,3
0,0.7148,0.6885,0.5321,0.0859,4
8,0.6016,0.3877,0.5893,0.0352,2
9,0.4316,0.4268,0.6036,0.0371,2
12,0.7158,0.6807,0.4679,0.0684,2
