anno_index,coord_x,coord_y,coord_z,diameter,malscore
0,0.2056,0.5806,0.6596,0.0167,0
1,0.3833,0.7083,0.3614,0.0167,0
2,0.5806,0.2944,0.5422,0.0167,0
3,0.4417,0.3278,0.5271,0.0167,0
4,0.675,0.3111,0.6657,0.0167,0
5,0.5611,0.5889,0.3916,0.0167,0
6,0.4361,0.5444,0.7199,0.0167,0
7,0.1583,0.4944,0.3614,0.0167,0
8,0.4306,0.5556,0.8404,0.0167,0
9,0.4,0.7056,0.5512,0.0167,0
10,0.6667,0.4694,0.3886,0.0167,0
11,0.7139,0.3444,0.488,0.0167,0
12,0.8472,0.4806,0.3614,0.0167,0
13,0.2222,0.5861,0.7831,0.0167,0
14,0.2583,0.6833,0.2319,0.0167,0
15,0.2056,0.3528,0.5181,0.0167,0
16,0.3083,0.2639,0.3976,0.0167,0
17,0.1889,0.625,0.2711,0.0167,0
18,0.7889,0.6278,0.4578,0.0167,0
19,0.7417,0.3861,0.4729,0.0167,0
20,0.1778,0.575,0.2199,0.0167,0
21,0.7194,0.5167,0.8645,0.0167,0
22,0.2222,0.6528,0.1898,0.0167,0
23,0.4361,0.6278,0.3102,0.0167,0
24,0.4139,0.6639,0.4428,0.0167,0
25,0.5611,0.6306,0.3042,0.0167,0
26,0.3972,0.2944,0.7289,0.0167,0
27,0.7083,0.3333,0.6446,0.0167,0
28,0.3861,0.425,0.6627,0.0167,0
29,0.2417,0.6417,0.7018,0.0167,0
30,0.2667,0.5083,0.4337,0.0167,0
31,0.7944,0.6083,0.4669,0.0167,0
32,0.2389,0.6806,0.3223,0.0167,0
33,0.4028,0.6889,0.509,0.0167,0
34,0.5972,0.5583,0.3524,0.0167,0
35,0.4278,0.3111,0.4729,0.0167,0
36,0.5583,0.5361,0.3494,0.0167,0
37,0.5667,0.3361,0.6084,0.0167,0
38,0.7722,0.5139,0.6295,0.0167,0
39,0.2889,0.3611,0.8042,0.0167,0
40,0.2083,0.5056,0.3795,0.0167,0
41,0.1833,0.4222,0.491,0.0167,0
42,0.2,0.5583,0.7259,0.0167,0
43,0.175,0.4556,0.6687,0.0167,0
44,0.1694,0.4417,0.4127,0.0167,0
45,0.4361,0.5861,0.8042,0.0167,0
46,0.2778,0.7,0.2892,0.0167,0
47,0.6056,0.7028,0.256,0.0167,0
48,0.3472,0.7417,0.5361,0.0167,0
49,0.6111,0.2917,0.6265,0.0167,0
50,0.5944,0.6917,0.259,0.0167,0
51,0.3778,0.6611,0.2078,0.0167,0
52,0.2333,0.6833,0.4157,0.0167,0
53,0.8056,0.4972,0.503,0.0167,0
54,0.3056,0.2583,0.4127,0.0167,0
55,0.2306,0.575,0.8102,0.0167,0
56,0.3528,0.4806,0.4669,0.0167,0
57,0.7556,0.4167,0.4488,0.0167,0
58,0.2444,0.3083,0.5813,0.0167,0
59,0.55,0.5583,0.4036,0.0167,0
60,0.725,0.35,0.4729,0.0167,0
61,0.4833,0.325,0.6958,0.0167,0
62,0.2028,0.575,0.6898,0.0167,0
63,0.5278,0.1889,0.0,0.0167,0
64,0.7139,0.7222,0.2952,0.0167,0
65,0.1861,0.625,0.3313,0.0167,0
66,0.7417,0.4333,0.4819,0.0167,0
67,0.575,0.5889,0.3223,0.0167,0
68,0.7167,0.3667,0.503,0.0167,0
69,0.7639,0.6917,0.3012,0.0167,0
70,0.2056,0.4472,0.7711,0.0167,0
71,0.7139,0.4806,0.4548,0.0167,0
72,0.1778,0.4722,0.4849,0.0167,0
73,0.7972,0.4167,0.3946,0.0167,0
74,0.5806,0.2917,0.1205,0.0167,0
75,0.4556,0.5361,0.3102,0.0167,0
76,0.3222,0.6972,0.744,0.0167,0
77,0.7306,0.3222,0.5783,0.0167,0
78,0.3389,0.7417,0.5873,0.0167,0
79,0.7556,0.675,0.3012,0.0167,0
80,0.4222,0.2722,0.4337,0.0167,0
81,0.2917,0.2833,0.6265,0.0167,0
82,0.6639,0.3306,0.7169,0.0167,0
83,0.3833,0.7361,0.5512,0.0167,0
84,0.1611,0.4778,0.3584,0.0167,0
85,0.4417,0.5389,0.7229,0.0167,0
86,0.35,0.7361,0.6114,0.0167,0
87,0.3306,0.6917,0.759,0.0167,0
88,0.1667,0.5361,0.259,0.0167,0
89,0.2306,0.6778,0.4307,0.0167,0
90,0.2333,0.3361,0.4096,0.0167,0
91,0.4306,0.6444,0.512,0.0167,0
92,0.6,0.7306,0.3795,0.0167,0
93,0.2333,0.45,0.4458,0.0167,0
