anno_index,coord_x,coord_y,coord_z,diameter,nodule_chance,diameter_mm
0,0.7048,0.6476,0.4343,0.0376,0.8661999702453613,7.901800155639648
1,0.7619,0.6476,0.4343,0.0372,0.8555999994277954,7.811500072479248
2,0.7048,0.7048,0.4343,0.0443,0.9319000244140625,9.302499771118164
3,0.7619,0.7048,0.4343,0.0483,0.9453999996185303,10.151700019836426
4,0.7048,0.6476,0.5029,0.0688,0.9993000030517578,14.451399803161621
5,0.7619,0.6476,0.5029,0.0692,0.9988999962806702,14.530599594116211
6,0.7048,0.7048,0.5029,0.0628,0.9987000226974487,13.182600021362305
7,0.7619,0.7048,0.5029,0.0708,0.9987999796867371,14.871700286865234
8,0.5905,0.3619,0.5714,0.0438,0.9868000149726868,9.188799858093262
9,0.6476,0.3619,0.5714,0.0375,0.958299994468689,7.874800205230713
10,0.419,0.419,0.5714,0.0446,0.9976000189781189,9.370499610900879
11,0.4762,0.419,0.5714,0.0438,0.9955000281333923,9.199700355529785
12,0.5905,0.419,0.5714,0.0421,0.98089998960495,8.848999977111816
13,0.6476,0.419,0.5714,0.0428,0.963699996471405,8.992500305175781
14,0.419,0.4762,0.5714,0.0382,0.9896000027656555,8.012499809265137
15,0.4762,0.4762,0.5714,0.0257,0.9383999705314636,5.395599842071533
16,0.7048,0.6476,0.5714,0.0659,0.9994999766349792,13.845000267028809
17,0.7619,0.6476,0.5714,0.0683,0.9994000196456909,14.341300010681152
18,0.7048,0.7048,0.5714,0.068,0.9997000098228455,14.274100303649902
19,0.7619,0.7048,0.5714,0.0771,0.9997000098228455,16.182899475097656
20,0.5905,0.3619,0.64,0.0331,0.9664000272750854,6.946700096130371
21,0.6476,0.3619,0.64,0.0206,0.8744000196456909,4.326300144195557
22,0.419,0.419,0.64,0.0425,0.9980000257492065,8.9173002243042
23,0.4762,0.419,0.64,0.0472,0.9965999722480774,9.912599563598633
24,0.5905,0.419,0.64,0.038,0.9764999747276306,7.9807000160217285
25,0.6476,0.419,0.64,0.0339,0.9265999794006348,7.113800048828125
26,0.419,0.4762,0.64,0.04,0.9922999739646912,8.394599914550781
27,0.4762,0.4762,0.64,0.036,0.9627000093460083,7.558800220489502
